,roc_auc
231,"[0.7097417035267403, 0.7285359163380765, 0.7121925313707964, 0.7423225686192274, 0.7226920737413439]"
232,"[0.7253977690957477, 0.692481774522337, 0.7451537611802017, 0.7376195355191257, 0.7153660842252919]"
233,"[0.6928310111772322, 0.7209751824817519, 0.7029218191341577, 0.7469777951094186, 0.7576994225802447]"
234,"[0.7318312889309408, 0.7343819775777375, 0.7242640670072638, 0.6986940298507464, 0.724846661948573]"
235,"[0.7091454142338097, 0.7123439722821349, 0.7157593629861168, 0.7379327185498002, 0.7417193667370703]"
236,"[0.7071771303040814, 0.7469111969111968, 0.7203507355264543, 0.7105650963100487, 0.7361339923119166]"
237,"[0.7174281461124471, 0.729880291970803, 0.7219152214460315, 0.7020154553049289, 0.7434728061847281]"
238,"[0.723967493131947, 0.7313690552195666, 0.7226382915616194, 0.6928731942215088, 0.7508439836026042]"
239,"[0.7590635302707079, 0.7109291959540545, 0.7196422076741227, 0.7209758504040593, 0.7111094609563061]"
240,"[0.7127435853477343, 0.7570296872158574, 0.7418877239891173, 0.6896379670457183, 0.7145723183012924]"
241,"[0.7325240910834782, 0.7394822561289217, 0.7121034462234391, 0.725388362901002, 0.7080306802896311]"
242,"[0.7518596820922403, 0.7319372126841167, 0.7323958653641459, 0.714007625002163, 0.6926850784963271]"
243,"[0.7518092293598994, 0.6965326340326341, 0.7495614658891576, 0.7339164835164835, 0.6835422230168938]"
244,"[0.7464883707640437, 0.7018665724548078, 0.7365996068909699, 0.7267116796967543, 0.7062398468322117]"
245,"[0.7014096127514657, 0.7146302250803859, 0.716654811619476, 0.7340906908636996, 0.745241979336596]"
246,"[0.7366669042273932, 0.7249551604128807, 0.6803573690817584, 0.7435276609141124, 0.7294142028184581]"
247,"[0.71124647405017, 0.7151229492523614, 0.7203838197854157, 0.7229987329617447, 0.7457741717376607]"
248,"[0.7210602542452387, 0.7244701517864458, 0.7427620437956205, 0.7043880953594094, 0.7227323661240858]"
249,"[0.6979001009901679, 0.7284196323157363, 0.7289558471165702, 0.7158495749978535, 0.7377140198511166]"
250,"[0.7287044901194725, 0.741123188405797, 0.7039678832116788, 0.7032146821227825, 0.7411388888888889]"
251,"[0.6928298735385349, 0.7254157142216843, 0.7064992700729926, 0.7744337484210709, 0.7228591016125666]"
252,"[0.7074132492113563, 0.7290337597848201, 0.7215914721768, 0.7115369116698904, 0.746429264775217]"
253,"[0.7351035509897739, 0.7698882756764033, 0.6945757422789225, 0.7301515023751299, 0.6898882087235564]"
254,"[0.7542884352121898, 0.7423424654414611, 0.7233885103369821, 0.6853211332456305, 0.7116490350374345]"
255,"[0.7404643889774001, 0.6868365925873913, 0.7589306797099005, 0.7231589743589744, 0.713813214687171]"
