,roc_auc
241,"[0.6812683935341108, 0.6686646910558947, 0.6692784342304628, 0.6728268286495638, 0.6780524194700407]"
242,"[0.6791141557284226, 0.6740337500171355, 0.6703357162506386, 0.6734551538472925, 0.6730004697637914]"
243,"[0.6740042555434753, 0.6706714873289439, 0.672915654709085, 0.6784692635057328, 0.6738750790995823]"
244,"[0.6725290036687581, 0.6737379584240738, 0.67439601103254, 0.6722936456359173, 0.6773050838162272]"
245,"[0.6670269150675351, 0.6779575298863084, 0.6790476596232835, 0.6728008010540563, 0.6730360549831452]"
246,"[0.6756749398041327, 0.6770549600955799, 0.6695557827149067, 0.6759141972944134, 0.6719906003401634]"
247,"[0.6739070083582516, 0.677517411758787, 0.665952063155214, 0.678084425795391, 0.6746954579637979]"
248,"[0.6774052501949429, 0.6749146592024788, 0.6735453890260666, 0.6751568498875352, 0.6691861366763857]"
249,"[0.6705102871658987, 0.6742449416205716, 0.6785381599029702, 0.6754397202500567, 0.671362097055366]"
250,"[0.6733307978724281, 0.6746867930765645, 0.6724147116833572, 0.6716026186805096, 0.6781068899612119]"
251,"[0.6772690146326583, 0.6759540722870986, 0.6767852879969706, 0.6748728231367547, 0.6652477481843467]"
252,"[0.6751012678799687, 0.6731321957926876, 0.673787626909194, 0.6715451375809439, 0.6764162330492222]"
253,"[0.6724893444903861, 0.676320076415676, 0.6739171996205365, 0.6741030888274643, 0.6733314508025281]"
254,"[0.6718782091181079, 0.6778581276284765, 0.6796301893910008, 0.6678097830409422, 0.6729110298494521]"
255,"[0.6752005149896023, 0.6713651357797483, 0.6775979056347724, 0.6782777664390658, 0.6672636529559095]"
