,r2
122,"[0.18631036565217163, 0.15379388046276954, 0.20215278029576378, 0.14877628713290447, 0.11087064753148568, 0.17326302306195895, 0.12928138011195234, 0.1552807594857124, 0.1775648699908985, 0.1065367029163119]"
123,"[0.10442150498674918, 0.1781975573721558, 0.13348978495574038, 0.14313572183137668, 0.11248777338436167, 0.14248133872401147, 0.19874553128811634, 0.17098259669595317, 0.19943122001250946, 0.15880207096843424]"
124,"[0.13931757137594203, 0.18355275726906417, 0.12085459037668633, 0.16794300901541492, 0.15735250117588662, 0.17608337358969173, 0.1815408912147891, 0.11679926360836868, 0.13121178423331425, 0.1526189709839192]"
125,"[0.1332008500614854, 0.16530364305819745, 0.11437293910536817, 0.16406600763635704, 0.15590113542580164, 0.08173718637661054, 0.21064061919870758, 0.17516314171686453, 0.1417567725034814, 0.16178171487514958]"
126,"[0.19751293955701232, 0.1977586006573241, 0.13502521203669238, 0.15048620371049093, 0.13223030454136586, 0.12760808686829483, 0.19903065591836333, 0.15441915692742947, 0.10088236696408426, 0.1495354714699877]"
127,"[0.10861998840883613, 0.12610692116566424, 0.21639951679076896, 0.19014817003108098, 0.1270306682295701, 0.15678023936010543, 0.11291924091612615, 0.16018659911186872, 0.17749669479214591, 0.15155084706384436]"
128,"[0.1697422586769155, 0.16130258977361256, 0.08558506161629942, 0.17270327026830223, 0.08959720728608356, 0.14275202712506818, 0.14367312746426175, 0.12130805071267858, 0.23010041793377523, 0.2166373462565897]"
129,"[0.16265547783923762, 0.09401956597814631, 0.10807346375504356, 0.1780790609043178, 0.1369569605906289, 0.1261896522033582, 0.18495229255482626, 0.22701173641839523, 0.16813728213483325, 0.15525474483889423]"
130,"[0.15078310677879092, 0.13723242703325744, 0.15828854831554506, 0.1958135192529935, 0.15479124612086437, 0.12450179901884739, 0.13803832644344594, 0.12537803832636085, 0.21351567263090798, 0.14331460702046606]"
131,"[0.06896613913479854, 0.15178448326116634, 0.219433736109943, 0.17753298525849437, 0.1359651886782347, 0.1418250946023043, 0.17071537255335034, 0.193844884476417, 0.13636901308758942, 0.11985366009301901]"
