,r2
198,"[0.03821634762485926, 0.03821606786083376, 0.03868291797594292, 0.039387273295884984, 0.038080724421621914]"
199,"[0.035590470660940454, 0.0396387029151658, 0.04016856318796469, 0.038685140344456026, 0.03816701914806153]"
200,"[0.038306799547052406, 0.03856231544741162, 0.03960451477918625, 0.03531985102131696, 0.04046103274701407]"
201,"[0.040745620502538604, 0.03492295396348988, 0.037442563350188585, 0.04021931841444548, 0.039076349754263995]"
202,"[0.03837886532267398, 0.03870796623682593, 0.039439420529846725, 0.04129827872824032, 0.03449656218260433]"
203,"[0.03953813834075082, 0.03800638894845998, 0.0410920201507714, 0.03600473116320124, 0.03765540087121633]"
204,"[0.040198392701778496, 0.03753060232888428, 0.0374163814456272, 0.03884880538367674, 0.03862983446174151]"
205,"[0.03892281270757969, 0.03597078507061957, 0.038221375741004815, 0.0402488127366587, 0.039076434525985304]"
206,"[0.038288043689293505, 0.03684682531052519, 0.03627112604166416, 0.0414113354633433, 0.039632706191407574]"
207,"[0.03682810099118172, 0.03503329975718805, 0.0411611207381265, 0.041651420003884554, 0.03762949804410787]"
208,"[0.037696741807420886, 0.03840703446197402, 0.040652280502995186, 0.03620402480155105, 0.039486462849823156]"
209,"[0.04085911600974568, 0.03821000326748514, 0.04005526149899141, 0.03859187657307861, 0.03489288830851878]"
210,"[0.04281303098077127, 0.037082957877110356, 0.03760205038676956, 0.03848070163653239, 0.03632355998897696]"
211,"[0.04275308181541093, 0.03747619008536274, 0.03685197230118753, 0.03651502277997698, 0.03892872088574684]"
212,"[0.04113411120175603, 0.034336449692466076, 0.03955029981072644, 0.04033392818856729, 0.03692819661170155]"
213,"[0.03803244581398879, 0.03635818960015291, 0.036294352571092925, 0.04244213151282339, 0.03926593676833279]"
214,"[0.033379768013774735, 0.03889390355669997, 0.040192221969879816, 0.042107617736544256, 0.03774642832738473]"
215,"[0.03728257493192788, 0.04029587512538768, 0.03766990904359435, 0.03686812247081994, 0.040305846299669046]"
216,"[0.0373186967552942, 0.04333962711206785, 0.035967919256923886, 0.035762697755318706, 0.03993515923217972]"
217,"[0.04006334073896767, 0.03693208559157568, 0.03422675247593765, 0.04017763148699138, 0.04092454443068505]"
218,"[0.037179978883338904, 0.03901802137573562, 0.040350503508620905, 0.03611032119115243, 0.039730631471554645]"
219,"[0.040263119023608795, 0.03936621077918556, 0.036363926313414896, 0.03844233310186029, 0.03800896180301949]"
220,"[0.03852655295279395, 0.03904654248277939, 0.03963393806519977, 0.03977101012363793, 0.03517963148824954]"
221,"[0.03700079206547624, 0.038415129255127134, 0.03925523624484761, 0.03695821006094935, 0.040838848673351746]"
222,"[0.03890070414588731, 0.03921174753898449, 0.037626485516816466, 0.0383308929069871, 0.03813996874619263]"
223,"[0.039562718587418, 0.03718820830671499, 0.03773898236384665, 0.03826329018169672, 0.03973380577551311]"
224,"[0.03702518271269306, 0.03683387842733976, 0.03721789559715072, 0.038847186116380716, 0.04250195463429385]"
225,"[0.04186005508445756, 0.03793743754386625, 0.037175019866243275, 0.03765602842172222, 0.037902108498052756]"
