,roc_auc
97,"[0.6914961030454949, 0.6987037759810056, 0.705027160019713, 0.7021394802040138, 0.6979589276646643, 0.6920119673658104, 0.6968634508674043, 0.7021495359059745, 0.6975677303927666, 0.698071819931952]"
98,"[0.7003227757754245, 0.6956882366664253, 0.7005700552472524, 0.6999279067456989, 0.6970178410761088, 0.6927601025120479, 0.706194229783077, 0.700696779791059, 0.6915538659390045, 0.6964185704629771]"
99,"[0.6897837963244853, 0.6938776700748793, 0.6992123402702817, 0.6950334266060599, 0.7067573672521588, 0.7004429947567437, 0.6960412894113831, 0.6940784073090089, 0.7061417304482815, 0.6998565494972265]"
100,"[0.6995909113451362, 0.6927336989171929, 0.6987882347978351, 0.7001176485350662, 0.6994800807121939, 0.7081181874662136, 0.6909404335808037, 0.6946876057948372, 0.698151168494784, 0.6992694736777855]"
101,"[0.6992653835306468, 0.688205150992698, 0.6946369096215662, 0.6968261063056307, 0.6892355176872397, 0.6974190022967678, 0.708790548471852, 0.7020356862925337, 0.6933955637032352, 0.7119045424436335]"
102,"[0.6983987908533661, 0.6991991520923151, 0.6992081454763261, 0.6980854388369169, 0.6932639998660571, 0.6956800468306071, 0.6961650494525348, 0.7066042708922394, 0.6966667300050341, 0.6983861532325383]"
103,"[0.6997131051482852, 0.7013733719092154, 0.6977465049330867, 0.693360062463569, 0.6983636935026402, 0.7001864949098899, 0.7014174490244915, 0.6888521207834081, 0.6996977388348145, 0.700543782894775]"
104,"[0.6889452324977262, 0.7019868423659444, 0.7009925036852899, 0.7011872438168056, 0.6947858702051939, 0.7014065988539786, 0.6978975901526141, 0.6984926334787523, 0.696794944784445, 0.6989996831143933]"
105,"[0.7070173899995641, 0.6926692652476992, 0.6915199598011624, 0.6921090741219911, 0.703768744532127, 0.695711516864915, 0.6912963055541669, 0.6950428921313819, 0.704550462961079, 0.7079262420229988]"
106,"[0.6982249293554024, 0.692404507467723, 0.6937318238079762, 0.7008108972538972, 0.6956996906330379, 0.6907678069139612, 0.7005914241813965, 0.7043889838609205, 0.7080543160168417, 0.6963983018826245]"
107,"[0.6917845132892253, 0.7018883872831353, 0.7032165661892451, 0.6938055504896206, 0.6961419962450601, 0.6997961793199237, 0.6866530726892964, 0.7024346184614261, 0.70499667146585, 0.7002820125673009]"
108,"[0.6960592035422801, 0.6973351018778349, 0.695160614211537, 0.6980853253414094, 0.7061374502506063, 0.6854355700622384, 0.7076675195052018, 0.7052620230830251, 0.6950501892376028, 0.6954216360641834]"
109,"[0.6951353410319363, 0.7016200839035062, 0.7028386261494122, 0.6980546134570914, 0.6974942452783918, 0.6986836327983423, 0.7037339195706187, 0.7025653834452983, 0.6968207812069468, 0.6843783706789912]"
110,"[0.6933696142454767, 0.701364750790469, 0.698740444109555, 0.6976495207520542, 0.6974659985164957, 0.7006484125456008, 0.6981535679201334, 0.6982992053553028, 0.7000372455032907, 0.6955368440736797]"
111,"[0.6998507570395498, 0.6972562315797927, 0.6950714158223161, 0.7010962794374885, 0.7010743203267059, 0.6950892981744711, 0.6973687510258858, 0.7003362454222495, 0.6918961883188451, 0.7022572295478352]"
112,"[0.7072099464775161, 0.6963242337114743, 0.6955066756332356, 0.6903270720797618, 0.691909367427069, 0.6986700178772676, 0.7002924815545739, 0.7032695050337437, 0.6975938483864048, 0.6997766559580016]"
113,"[0.7005666821607707, 0.7002345080493647, 0.6981670194076772, 0.6952156549928337, 0.7005816408686536, 0.6967860605507794, 0.7028029068433052, 0.6964658307065782, 0.6994039057295475, 0.691491793127833]"
114,"[0.6892594289207509, 0.700390400938588, 0.7055884770208551, 0.6996310978344167, 0.6939232362512132, 0.7072870280863609, 0.6947249231176892, 0.6898067678151946, 0.7085059652026033, 0.692685881819762]"
115,"[0.699039196063925, 0.7064797436214572, 0.6952218291484392, 0.6902271551748168, 0.6951780380418419, 0.6983610921856092, 0.7019884994003533, 0.694450668033649, 0.698953028593676, 0.7018476979543185]"
116,"[0.6927854801075153, 0.6904085618541164, 0.6972774416202263, 0.698918632056263, 0.7034543801357511, 0.6955851191881697, 0.7064428666611741, 0.6988080965116402, 0.7052577151581333, 0.6925087871993619]"
117,"[0.6952044461765171, 0.7022728192659949, 0.7013550945926945, 0.7007441074176686, 0.6949870114833303, 0.6918428045818554, 0.7002147779903483, 0.6986377579142278, 0.6924882688381626, 0.7038660952310641]"
118,"[0.6913327966297246, 0.7001345956842399, 0.7001364070725389, 0.6931584445043014, 0.6974486791020577, 0.6985362838509204, 0.6983498198118084, 0.703645424853544, 0.6989944467995498, 0.6995978492034335]"
119,"[0.7003717649762634, 0.6946180693673282, 0.695889704811623, 0.6940002997007768, 0.6952577572862799, 0.6953972341853044, 0.7141535698450172, 0.7010084339147166, 0.6929309894940178, 0.697341024754717]"
120,"[0.697589050345681, 0.7033033539338877, 0.6955830490301137, 0.6994981401173406, 0.6949471791000329, 0.7072686281946918, 0.7038492900238593, 0.6892232647122546, 0.6964693849701614, 0.6938025066588849]"
121,"[0.6908564242061838, 0.7002179876432992, 0.6997937550558844, 0.6945811560884828, 0.7017609863061042, 0.7014626792541235, 0.6998990698071642, 0.6994401302935689, 0.7008716906490189, 0.692748363363228]"
122,"[0.7055185456289803, 0.691523805028955, 0.6923933349699689, 0.7071927405585857, 0.7007453195496883, 0.6933367686456184, 0.6946211201265687, 0.6911095645860168, 0.7045535375362301, 0.7008156716172808]"
123,"[0.6878948315762079, 0.702680118323697, 0.7087252431568611, 0.7017288035200097, 0.689764020867266, 0.691326699651064, 0.6940561167913444, 0.7071010407283804, 0.6994568229373153, 0.6997561012650427]"
124,"[0.6954248998502023, 0.6998127996020357, 0.6945722943592605, 0.7080947165952712, 0.7092196023484236, 0.6958893370861788, 0.6936284112414014, 0.6964712694112954, 0.6984132067689847, 0.6891588218525941]"
125,"[0.6949850457411411, 0.7062238975087263, 0.6937125658902709, 0.6993806813467627, 0.6950124299371804, 0.6890705814759824, 0.6940356467416193, 0.7036331809581995, 0.696326637486935, 0.709332966879096]"
126,"[0.6941070898936537, 0.7017234556116982, 0.6990671023392987, 0.6961650176737928, 0.6957893339246479, 0.7011721398346731, 0.695514779212468, 0.7004042927887008, 0.7042389771621466, 0.692781820372293]"
