,roc_auc
215,"[0.6965278030651919, 0.6985733623766895, 0.6963769119456336, 0.701135811233349, 0.6979268493184787]"
216,"[0.6929157332379952, 0.7090360458113054, 0.6957838903948221, 0.6935801301427613, 0.7000598388268087]"
217,"[0.7023385835193723, 0.6962250095682869, 0.6944818840439573, 0.6992942232934667, 0.698393895863869]"
218,"[0.6949101996688236, 0.6996386150468836, 0.7012515965719005, 0.6995736207807111, 0.6954576819190935]"
219,"[0.6973895133437449, 0.6980441277685878, 0.7007054277869518, 0.6973238817328264, 0.6973874275015784]"
220,"[0.6973324409316484, 0.6971481060307385, 0.6992834178190314, 0.7011173055485814, 0.6956010521890696]"
221,"[0.6920905006718243, 0.6990667317883306, 0.6981516202756897, 0.6974695366602831, 0.7040657770472485]"
222,"[0.6956297651147312, 0.7003557511693689, 0.6969735138377497, 0.6983992319937075, 0.6989242249772163]"
223,"[0.7020779082431171, 0.6958726994472955, 0.697637940067305, 0.6948051563121852, 0.7001045322892578]"
224,"[0.6953201730163355, 0.7000212385353336, 0.6923441221835206, 0.6984675676662523, 0.704821164368802]"
225,"[0.698744103364923, 0.7000397298286951, 0.6951352605159371, 0.6971744551069257, 0.6992155286970689]"
226,"[0.6993172582267019, 0.6972813008818729, 0.699658745827206, 0.6963858994982179, 0.6976449776444815]"
227,"[0.6991431669849718, 0.6961859561249983, 0.6984905183282285, 0.702374718106444, 0.6938866787417489]"
228,"[0.6962285170424686, 0.7052011271617131, 0.6965492127734286, 0.692334167021675, 0.700690859338955]"
229,"[0.701868980529148, 0.7026286910954745, 0.695041952231984, 0.6996832663758232, 0.6912089572213126]"
230,"[0.6981393878261396, 0.6970555524420251, 0.7015040044517714, 0.7035399220590901, 0.690244739111667]"
231,"[0.6976620159256295, 0.6968486332437079, 0.7037909216050245, 0.6986363480010624, 0.6940413771354513]"
232,"[0.7001564578961852, 0.6964327156166947, 0.6953729815395518, 0.7021580372965772, 0.6969182458372677]"
233,"[0.6969167061537865, 0.7001896139660979, 0.6984610762111739, 0.6977968539583526, 0.6979142184076567]"
