,roc_auc
99,"[0.6742254916096188, 0.6743234744292118, 0.6656596311264364, 0.6714508206416164, 0.6759182127165896, 0.6723724388399567, 0.6645449931240645, 0.6793267807093334, 0.6865086059165008, 0.676082501391699]"
100,"[0.6790994171192829, 0.6788340604979761, 0.6664575019196868, 0.6859987741659224, 0.6665206015848065, 0.6765406445420423, 0.6778167875403454, 0.6681736049360254, 0.6647266223213125, 0.6750375719543427]"
101,"[0.6750367248071917, 0.6651494917493624, 0.6687162363245652, 0.6758146718288471, 0.6608937868354839, 0.6831858260114684, 0.6798365477543802, 0.679520132317837, 0.6787009825113524, 0.6742065941081964]"
102,"[0.6761897021122905, 0.68066958481813, 0.6775345677949374, 0.6774693861663873, 0.6740962074125638, 0.665171378632067, 0.6728837419018842, 0.6711377643097124, 0.6700157828918032, 0.675199365732161]"
103,"[0.6757281274567968, 0.6861096885489486, 0.6832212659995437, 0.6672244137541962, 0.6682209924724002, 0.6667848996921651, 0.6699496374922138, 0.6747096083251333, 0.6730564936120236, 0.6752358155891945]"
104,"[0.669311176322591, 0.6708081676581549, 0.6806994350548129, 0.6733590782426658, 0.6744306049096954, 0.6707615572585992, 0.6733846244529811, 0.6775325065385371, 0.68003338156788, 0.6706918070159631]"
105,"[0.6722112560608016, 0.6723146174229425, 0.6732795279663866, 0.6812008337022302, 0.6746666462576515, 0.6754867251885072, 0.6619230543204337, 0.6770036929620002, 0.6725911669325131, 0.679678163541056]"
106,"[0.666483269744166, 0.6766303241732591, 0.6799520021870904, 0.669121667841772, 0.6728470591565552, 0.6725599742282876, 0.6764223339666426, 0.6747969127953359, 0.6858622861514018, 0.6658481833548379]"
107,"[0.6712516603369354, 0.6745318995940568, 0.6771410751250359, 0.6742738195963339, 0.6627657813628063, 0.6766690324341633, 0.6776587717983311, 0.6733300543520818, 0.6708722373765755, 0.6810994946410239]"
108,"[0.6773675486353747, 0.6732583427730777, 0.6677215818727883, 0.6753173887015034, 0.6792555038515062, 0.6727778713981657, 0.6716367263377706, 0.6746471316419047, 0.6759356584970654, 0.6722866144707783]"
109,"[0.6667494608569369, 0.6778995485378911, 0.6760403905400507, 0.6655075207408931, 0.6697271094679009, 0.672986458441331, 0.6757049439922124, 0.6812468965594584, 0.6846559014978982, 0.6690079938775568]"
110,"[0.6703411376229328, 0.6683246173224187, 0.6727835152915549, 0.674844028633563, 0.6793193387426701, 0.6691442276597449, 0.680031982138796, 0.6712282325998804, 0.6802328177768455, 0.6738383362674615]"
111,"[0.6815069350464367, 0.6655366092054376, 0.6653441945714659, 0.6845698439245302, 0.6690501921829975, 0.6833277756448523, 0.6780053955731442, 0.6667382677764191, 0.6772588013848913, 0.6697131268718032]"
112,"[0.6742459853767406, 0.6672735884255989, 0.6697292226313176, 0.6709950668961063, 0.6774879051151632, 0.6731266074844421, 0.6779784786949984, 0.6766840905151785, 0.6795509056269081, 0.6733314892573352]"
113,"[0.680573921329318, 0.6724723541605758, 0.6722970293460234, 0.6769216059537995, 0.6791688057834561, 0.6731303751074127, 0.6730807318134137, 0.6621622605314204, 0.6772099642975882, 0.6737293679226946]"
114,"[0.6739803846963244, 0.6762681931790229, 0.6725995234092162, 0.6770497934186537, 0.665866386890429, 0.6696513308927593, 0.6785125328577325, 0.6782411119327004, 0.6795392167237321, 0.6684461398263195]"
115,"[0.6696428108610359, 0.6710834294119521, 0.679296389036327, 0.6658021814088081, 0.6808308575020541, 0.6645661319991081, 0.6830638953012843, 0.6760497484974411, 0.674785224727297, 0.6746532405170041]"
116,"[0.6747935075678544, 0.6791499322945863, 0.6781364409614807, 0.671074644030999, 0.6713669684921989, 0.6748467302624633, 0.6704049566425838, 0.6712309016748559, 0.6740484812750083, 0.674788313267682]"
117,"[0.6714864017132426, 0.6685851748095067, 0.6866658822584305, 0.6718933754041497, 0.6683651741416625, 0.6772841621013787, 0.6748348418628075, 0.6726263967953818, 0.6715222274022953, 0.6768690635814668]"
118,"[0.6860948019411226, 0.6755456623565151, 0.6676123587045882, 0.6768534656862737, 0.6685399342284, 0.6744293023280149, 0.6745839352612422, 0.6819674123949986, 0.6730406140881104, 0.660966051848839]"
119,"[0.6746137003847158, 0.6771817453286122, 0.6753438101968897, 0.673564765509071, 0.678996329831131, 0.6652621156494019, 0.6803642311872663, 0.6751797267010068, 0.6737043277667036, 0.6660794237190166]"
120,"[0.6679262121158388, 0.6724576475220906, 0.6760739803796395, 0.6820782903803845, 0.6635336222610053, 0.6679304845231145, 0.6743233823260548, 0.675310051461103, 0.6826050237281982, 0.6777568601679864]"
121,"[0.675737959518118, 0.6739968039941361, 0.6706130377189466, 0.6786942480183487, 0.6770069544769661, 0.6792652795346266, 0.6748813637025839, 0.6709555726712577, 0.662538770413515, 0.6760168752808093]"
122,"[0.6758902487201128, 0.6644771924574256, 0.6771592889231985, 0.6676500283839105, 0.671929296746998, 0.6788800093087275, 0.6763074058078665, 0.6763152904816928, 0.6680634914698724, 0.6838680298060987]"
